Competition,Date,Discipline,Result Nationality,Announced performance,Realised performance,Card,Points,Remarks
AIDA Finqualizer: Molchanovs CORE Challenge 2025,20/12/2025,STA,United Kingdom,5:00,06:30,White,78,White
Indonesia National AIDA Freediving Championship 2025,20/12/2025,DNF,United Kingdom,5 m,65 m,White,32.5,White
Indonesia National AIDA Freediving Championship 2025,19/12/2025,STA,United Kingdom,7:00,08:31NR,White,102.2,White
AIDA Get EcSTAtic! (Back To The) Unknown,15/09/2025,STA,United Kingdom,6:00,06:06,White,73.2,White
AIDA Get EcSTAtic! (Into The) Unknown,14/09/2025,STA,United Kingdom,6:00,07:02,White,84.4,White
AIDA Get EcSTAtic! (Back To The) Unknown,14/09/2025,STA,United Kingdom,6:00,06:00,White,72,White
AIDA Get EcSTAtic! (Back To The) Unknown,13/09/2025,STA,United Kingdom,6:00,06:31,White,78.2,White
AIDA Get EcSTAtic! Road to Wakayama,08/06/2025,STA,United Kingdom,0:01,08:02,White,96.4,White
AIDA Get EcSTAtic! Road to Wakayama,07/06/2025,STA,United Kingdom,0:01,06:33,White,78.6,White
AIDA GetEcstatic Olympiad 2024 Round 2,10/08/2024,STA,United Kingdom,7:00,07:32,White,90.4,White
AIDA GETECSTATIC 2024 MAY SPRITZ COMP 2,11/05/2024,STA,United Kingdom,0:21,08:22,White,100.4,White
AIDA GETECSTATIC 2024 MAY SPRITZ COMP 1,11/05/2024,STA,United Kingdom,0:20,06:01,White,72.2,White
UFC 8 AIDA,05/05/2024,STA,United Kingdom,6:00,06:31,White,78.2,White
AIDA - Ultimate Static Apnea League Round Beta3 - Singapore,16/12/2023,STA,United Kingdom,0:01,05:37,White,67.4,White
AIDA Ultimate Freediving Challenge 7,03/12/2023,DYNB,United Kingdom,101 m,84 m,Yellow,33.5,"Yellow, under ap"
AIDA - Ultimate Static Apnea League Round Beta2 - Singapore,08/10/2023,STA,United Kingdom,5:30,06:02,White,72.4,White
AIDA GetEcSTAtic! - Summer Buzz,06/08/2023,STA,United Kingdom,3:20,07:50,White,94,White
AIDA GetMoreEcSTAtic! Summer Buzz,06/08/2023,STA,United Kingdom,3:20,05:30,White,66,White
30th AIDA POOL WORLD CHAMPIONSHIP,16/06/2023,DYN,United Kingdom,10 m,126 m,White,63,White
30th AIDA POOL WORLD CHAMPIONSHIP,15/06/2023,STA,United Kingdom,3:30,05:46,White,69.2,White
30th AIDA POOL WORLD CHAMPIONSHIP,12/06/2023,DYNB,United Kingdom,10 m,110 m,White,55,White
AIDA UFC 5.5 : Road to Jeju,04/06/2023,DYNB,United Kingdom,51 m,121 m,White,60.5,White
AIDA UFC 5.5 : Road to Jeju,03/06/2023,STA,United Kingdom,3:00,06:16,Yellow,74.2,"Yellow, latestart"
AIDA A42 Flow State Competition,19/03/2023,STA,United Kingdom,0:01,07:20,White,88,White
AIDA A42 Dream State Comp,14/03/2023,STA,United Kingdom,6:00,06:46,White,81.2,White
AIDA One Breath 2023,18/02/2023,STA,United Kingdom,6:00,07:18,Red,0,"Red, dqairways"
AIDA One Breath 2023,11/02/2023,STA,United Kingdom,0:01,06:15,White,75,White
AIDA Get EcSTAtic! - Last Chance 2022,17/12/2022,STA,United Kingdom,0:02,05:01,White,60.2,White
AIDA Ultimate Freediving Challenge 4,05/12/2022,DYNB,United Kingdom,102 m,77 m,Yellow,26,"Yellow, under ap"
AIDA APNEA SG STATIC 2022,02/10/2022,STA,United Kingdom,3:00,05:31,White,66.2,White
AIDA Ultimate Freediving Challenge - 3,27/08/2022,DYNB,United Kingdom,80 m,100 m,White,50,White
Get EcSTAtic AIDA Competition,12/06/2022,STA,United Kingdom,0:01,07:07,White,85.4,White
AIDA A42 STA MINI 2022,24/04/2022,STA,United Kingdom,0:01,03:53,Red,0,"Red, dqairways"
AAS AIDA Mini Comp 2022,19/02/2022,STA,United Kingdom,0:01,06:18,White,75.6,White
AAS AIDA Mini Comp 2022,19/02/2022,DNF,United Kingdom,1 m,56 m,White,28,White
AIDA ecSTAtic Club Comp Privée,28/12/2021,STA,United Kingdom,0:01,05:07,White,61.4,White
A42 AIDA DYNAMIC,26/10/2021,DYNB,United Kingdom,60 m,78 m,White,39,White
A42 AIDA STATIC,24/09/2021,STA,United Kingdom,3:00,06:26,Red,0,"Red, dqairways"
