Competition,Date,Discipline,Result Nationality,Announced performance,Realised performance,Card,Points,Remarks
AIDA Finqualizer: Molchanovs CORE Challenge 2025,20/12/25,STA,United Kingdom,5:00,6:30,White,78,White
Indonesia National AIDA Freediving Championship 2025,20/12/25,DNF,United Kingdom,5 m,65 m,White,32.5,White
Indonesia National AIDA Freediving Championship 2025,19/12/25,STA,United Kingdom,7:00,08:31NR,White,102.2,White
AIDA Get EcSTAtic! (Back To The) Unknown,15/9/25,STA,United Kingdom,6:00,6:06,White,73.2,White
AIDA Get EcSTAtic! (Into The) Unknown,14/9/25,STA,United Kingdom,6:00,7:02,White,84.4,White
AIDA Get EcSTAtic! (Back To The) Unknown,14/9/25,STA,United Kingdom,6:00,6:00,White,72,White
AIDA Get EcSTAtic! (Back To The) Unknown,13/9/25,STA,United Kingdom,6:00,6:31,White,78.2,White
AIDA Get EcSTAtic! Road to Wakayama,8/6/25,STA,United Kingdom,0:01,8:02,White,96.4,White
AIDA Get EcSTAtic! Road to Wakayama,7/6/25,STA,United Kingdom,0:01,6:33,White,78.6,White
AIDA GetEcstatic Olympiad 2024 Round 2,10/8/24,STA,United Kingdom,7:00,7:32,White,90.4,White
AIDA GETECSTATIC 2024 MAY SPRITZ COMP 2,11/5/24,STA,United Kingdom,0:21,8:22,White,100.4,White
AIDA GETECSTATIC 2024 MAY SPRITZ COMP 1,11/5/24,STA,United Kingdom,0:20,6:01,White,72.2,White
UFC 8 AIDA,5/5/24,STA,United Kingdom,6:00,6:31,White,78.2,White
AIDA - Ultimate Static Apnea League Round Beta3 - Singapore,16/12/23,STA,United Kingdom,0:01,5:37,White,67.4,White
AIDA Ultimate Freediving Challenge 7,3/12/23,DYNB,United Kingdom,101 m,84 m,Yellow,33.5,"Yellow, under ap"
AIDA - Ultimate Static Apnea League Round Beta2 - Singapore,8/10/23,STA,United Kingdom,5:30,6:02,White,72.4,White
AIDA GetEcSTAtic! - Summer Buzz,6/8/23,STA,United Kingdom,3:20,7:50,White,94,White
AIDA GetMoreEcSTAtic! Summer Buzz,6/8/23,STA,United Kingdom,3:20,5:30,White,66,White
30th AIDA POOL WORLD CHAMPIONSHIP,16/6/23,DYN,United Kingdom,10 m,126 m,White,63,White
30th AIDA POOL WORLD CHAMPIONSHIP,15/6/23,STA,United Kingdom,3:30,5:46,White,69.2,White
30th AIDA POOL WORLD CHAMPIONSHIP,12/6/23,DYNB,United Kingdom,10 m,110 m,White,55,White
AIDA UFC 5.5 : Road to Jeju,4/6/23,DYNB,United Kingdom,51 m,121 m,White,60.5,White
AIDA UFC 5.5 : Road to Jeju,3/6/23,STA,United Kingdom,3:00,6:16,Yellow,74.2,"Yellow, latestart"
AIDA A42 Flow State Competition,19/3/23,STA,United Kingdom,0:01,7:20,White,88,White
AIDA A42 Dream State Comp,14/3/23,STA,United Kingdom,6:00,6:46,White,81.2,White
AIDA One Breath 2023,18/2/23,STA,United Kingdom,6:00,7:18,Red,0,"Red, dqairways"
AIDA One Breath 2023,11/2/23,STA,United Kingdom,0:01,6:15,White,75,White
AIDA Get EcSTAtic! - Last Chance 2022,17/12/22,STA,United Kingdom,0:02,5:01,White,60.2,White
AIDA Ultimate Freediving Challenge 4,5/12/22,DYNB,United Kingdom,102 m,77 m,Yellow,26,"Yellow, under ap"
AIDA APNEA SG STATIC 2022,2/10/22,STA,United Kingdom,3:00,5:31,White,66.2,White
AIDA Ultimate Freediving Challenge - 3,27/8/22,DYNB,United Kingdom,80 m,100 m,White,50,White
Get EcSTAtic AIDA Competition,12/6/22,STA,United Kingdom,0:01,7:07,White,85.4,White
AIDA A42 STA MINI 2022,24/4/22,STA,United Kingdom,0:01,3:53,Red,0,"Red, dqairways"
AAS AIDA Mini Comp 2022,19/2/22,STA,United Kingdom,0:01,6:18,White,75.6,White
AAS AIDA Mini Comp 2022,19/2/22,DNF,United Kingdom,1 m,56 m,White,28,White
AIDA ecSTAtic Club Comp Privée,28/12/21,STA,United Kingdom,0:01,5:07,White,61.4,White
A42 AIDA DYNAMIC,26/10/21,DYNB,United Kingdom,60 m,78 m,White,39,White
A42 AIDA STATIC,24/9/21,STA,United Kingdom,3:00,6:26,Red,0,"Red, dqairways"
